Response,Explanatory1,Explanatory2,Explanatory3,Explanatory4,Explanatory5,Explanatory6,Explanatory7,Explanatory8,Explanatory9,Explanatory10,Explanatory11,Explanatory12,Explanatory13,Explanatory14
229.23200631317405,61.636,-49.911,207.817,4.839,143.835,-181.354,-119.315,-213.593,1.728,49.312,-45.234,-77.985,83.228,62.771
211.4638295682202,86.603,-48.479,282.977,30.863,165.842,-176.067,-119.358,-58.4,0.588,24.386,-31.045,-79.53,80.918,29.259
197.25150944818859,86.754,-72.574,293.346,5.115,115.702,-180.765,-119.211,-160.871,4.893,69.183,-35.179,-74.045,80.564,59.103
228.96043899202914,83.167,-68.569,191.283,5.047,106.409,-182.217,-119.349,-86.861,7.054,73.757,-41.647,-77.003,80.52,68.846
204.88264909352063,46.103,-19.844,267.529,17.664,146.895,-180.151,-119.317,-162.331,17.582,69.748,-77.434,-75.382,77.76,200.822
240.8570682591485,71.34,-111.636,191.582,10.441,102.961,-179.708,-119.22,-154.15,-6.018,66.472,-18.935,-75.757,79.561,51.605
210.2027093017002,50.507,-30.345,222.098,55.223,106.984,-177.688,-119.313,-113.005,20.911,48.642,-47.069,-71.632,79.314,108.161
232.99966971370924,96.508,-76.288,124.906,6.726,88.721,-177.408,-119.416,-150.019,-7.218,83.032,-37.362,-79.957,76.729,71.3
238.04907152214582,40.243,-72.732,211.46,27.93,109.601,-182.698,-118.882,-140.515,7.405,71.861,-35.968,-73.292,78.272,42.818
229.74020965846958,61.68,-87.635,284.826,23.555,178.131,-179.574,-119.731,-162.189,16.858,62.445,-43.874,-78.191,80.882,39.5
205.36660799588776,69.443,-10.582,185.593,24.723,115.628,-173.854,-119.19,-161.543,17.011,37.084,-36.614,-86.462,79.602,1.455
242.70592177633176,47.379,-77.796,53.884,14.525,126.796,-183.728,-119.348,-134.18,1.459,50.82,-38.305,-77.124,78.47,38.742
207.62911860812892,-41.245,-100.566,185.882,28.078,146.542,-178.961,-119.367,-156.15,-14.129,59.932,-16.02,-76.786,77.203,53.614
211.99863296026297,92.936,-46.659,308.568,-33.112,120.385,-178.14,-119.269,-240.271,1.992,66.04,-45.798,-77.681,79.536,7.646
