Response,Explanatory1,Explanatory2,Explanatory3
213.7274533453056,110.182,-116.159,-128.658
231.29932400247228,156.875,-102.136,-114.356
224.1360673504088,103.567,-128.934,-126.895
249.23605098516282,130.618,-117.881,-71.579
164.9505521031353,121.277,-117.556,-104.152
218.02651675215716,71.09,-122.085,-148.124
248.57514806555764,112.154,-119.543,-81.973
300.2345765663691,39.045,-122.656,-121.617
249.85808718836765,104.419,-110.631,-52.861
145.98022248772276,111.76,-113.357,-129.341
205.16858443119492,109.624,-132.955,-165.533
203.84592959061547,91.447,-119.411,-168.599
251.45720180788175,88.048,-127.495,-104.028
191.53197344740053,122.673,-126.738,-131.921
142.3927244831701,110.677,-119.07,-117.803
280.508658087804,84.659,-131.409,-116.715
194.44021405252872,73.019,-138.17,-107.667
105.66030818379608,139.877,-138.913,-118.81
308.29689970016403,138.165,-104.362,-121.579
234.81882720229245,116.121,-142.95,-121.405
249.15092736050082,97.028,-120.75,-24.719
193.63476908646922,124.702,-124.494,-124.959
252.19609728017997,161.256,-117.329,-143.869
243.02224268735858,95.508,-129.53,-125.667
243.1694780843555,100.003,-123.251,-110.249
170.94609174197637,58.125,-105.363,-105.277
293.8973812757012,110.038,-102.944,-114.137
244.3499727419197,109.452,-151.765,-140.766
269.0743686764107,93.485,-138.645,-82.835
210.60368955743556,113.192,-121.01,-124.957
200.0134164077635,122.444,-117.695,-147.639
144.52249345969147,102.94,-128.376,-159.856
225.52688241645188,82.033,-125.75,-168.547
211.3214006736587,163.591,-119.844,-128.684
214.14921491341238,73.438,-109.58,-126.241
218.4007014360471,42.516,-142.055,-110.568
228.73775585040622,100.201,-137.69,-116.556
217.60833710355027,105.483,-129.293,-129.194
343.5635946225881,109.165,-123.725,-110.252
280.48376364501877,115.44,-133.306,-114.464
246.39592798020354,128.223,-120.673,-128.786
147.17697277968898,154.151,-122.23,-133.611
253.26906018063872,107.207,-117.945,-136.341
221.47738611699756,109.069,-148.335,-144.345
184.66087410591857,74.933,-113.395,-119.574
243.7548625949646,63.619,-126.858,-113.419
179.15267985991468,149.455,-112.475,-140.094
263.4873032683436,127.327,-117.329,-132.528
155.6756613499122,116.113,-116.048,-140.846
240.7732159081152,117.742,-129.351,-104.839
148.5852484115648,94.99,-124.164,-137.725
231.8131214110528,95.465,-76.384,-146.472
233.64802465068703,110.692,-126.726,-110.879
155.05307620113877,120.664,-118.908,-126.767
238.93798081280178,110.144,-122.96,-114.549
