Response,Explanatory1
106.13122752474004,54.779
120.4066046404586,136.719
99.5722540536017,83.918
89.45162420235579,112.331
84.9695070401908,154.625
103.14593924304873,21.787
102.06157202334875,66.402
102.57428125196142,38.252
106.86606102893487,31.954
140.13450871393601,87.105
66.83232428813524,118.43
110.36037052534678,69.476
111.48157258823775,91.411
104.4407015503065,146.665
120.05077833336821,60.396
92.98501175806012,155.491
80.8692788877963,133.624
131.42549898529197,144.986
115.52825660606314,76.544
143.1011811619976,108.797
48.05190275540306,155.407
99.50526290352951,13.688
157.6535304726238,21.894
93.94319206226334,99.246
84.68664340858213,102.291
84.73768324371824,120.413
148.25367857815343,69.64
105.6347477247526,52.446
113.25720879971547,45.407
85.71339793292466,15.37
112.15208211812457,89.345
99.8045312885746,84.572
113.05290616565894,65.632
109.24505134213445,88.147
103.8762497855514,112.703
112.86846000795029,92.26
122.43989626964036,130.265
89.68480164027031,123.917
108.94606351863088,122.706
99.74441496328222,45.309
122.2982071887357,14.801
85.22984645479842,132.355
113.53193702533633,15.657
140.853988681298,130.483
88.71370776408561,87.185
89.18227275770445,46.337
102.61264981065757,83.012
109.84363878486097,145.424
106.30096920308806,8.104
106.59775749524027,40.674
96.86830801096303,153.701
77.80484507395862,92.465
114.89918478147165,106.176
99.05891388580874,136.572
112.17599995815637,105.74
63.059421239826776,78.891
113.78534447768689,20.925
123.1136361905559,154.486
78.99253647718476,66.448
97.40707736887254,41.948
130.30440050630793,150.543
100.12050270937507,90.348
98.9675396782225,80.707
94.98896365880704,88.373
102.23209460844822,15.65
107.47411666004143,34.217
87.85263508169969,8.03
83.44734236458355,153.966
99.09845743456702,52.681
111.7891115341967,145.403
105.52054256543298,107.626
112.2517390421993,68.127
96.71867487499216,123.434
135.1603151243802,153.523
105.0954976462958,103.408
99.76791888612256,126.044
109.82040575768355,129.887
95.16527328074983,120.831
110.41263616963407,155.33
98.54082044898215,129.913
111.37760294579158,61.692
112.36925802874657,114.746
102.09693558173107,121.69
103.70631960164864,116.298
136.140498755152,10.879
123.62935251166391,79.205
125.68702267924766,145.096
109.73441663702744,25.586
108.86427233926815,15.42
88.43949377575998,68.36
93.67878682762517,100.108
