Response,Explanatory1,Explanatory2
140.365,106.443,-30.368
66.111,46.975,31.986
84.974,14.122,-5.152
83.479,73.943,48.08
39.893,69.347,83.29
33.1,101.79,53.754
119.595,93.039,-17.205
89.136,32.92,23.831
116.099,94.506,110.516
60.92,57.035,59.797
65.737,147.15,230.7
-39.741,79.953,44.432
40.679,103.903,108.143
94.588,-4.381,83.187
106.237,99.031,24.203
24.133,102.331,32.31
57.629,93.722,151.436
50.389,49.611,21.707
82.883,126.759,5.963
33.549,38.075,58.37
94.119,80.091,-70.911
78.511,71.608,50.421
60.159,63.693,60.605
48.376,84.363,27.786
44.062,126.048,-27.43
68.862,114.031,39.249
77.967,80.796,32.519
64.605,31.302,26.276
128.967,107.791,1.502
37.952,73.003,49.139
82.932,77.617,51.557
-3.121,67.848,4.566
45.104,29.321,16.692
61.17,129.165,60.692
52.518,154.723,117.566
62.13,67.537,40.891
29.39,46.803,22.131
87.351,92.582,102.487
90.58,67.304,34.533
-53.245,65.623,-52.46
45.733,81.053,25.776
30.196,95.022,66.705
58.523,139.915,14.409
25.027,74.837,-10.468
7.946,7.381,32.847
79.794,63.718,19.057
29.757,13.093,-0.231
94.973,128.037,45.235
120.58,53.236,58.58
110.549,89.92,10.202
83.369,65.555,81.242
81.736,63.112,-25.333
109.517,81.921,36.5
53.535,171.462,27.25
57.677,128.918,92.489
115.773,62.601,106.01
-15.102,12.576,-27.262
81.714,127.705,66.272
32.543,245.905,-19.591
23.951,99.878,-8.31
104.607,85.406,68.284
80.56,96.252,42.872
66.395,57.911,49.984
50.024,172.894,-45.408
105.216,58.36,122.592
42.091,96.051,61.373
57.938,92.974,41.972
0.912,96.496,21.6
85.756,61.793,84.04
63.363,97.479,-37.534
68.091,75.398,-20.121
-31.279,74.498,64.344
25.458,60.234,31.381
11.79,97.631,25.423
27.565,112.704,36.423
-18.817,52.84,34.696
7.603,60.086,14.847
11.07,73.723,41.087
98.065,87.053,59.686
190.46,141.571,45.182
-54.026,144.587,-29.378
64.692,101.721,77.691
42.679,89.479,43.432
80.573,83.923,-0.45
109.839,84.191,83.187
67.451,70.719,-23.036
20.591,8.717,-25.578
47.579,81.051,84.582
31.924,101.739,39.989
136.829,162.567,8.482
64.797,49.63,56.64
48.894,71.141,49.929
84.438,119.114,-6.367
91.061,171.656,62.098
58.562,103.969,-2.136
63.461,-113.054,62.444
100.393,93.694,90.843
44.131,70.06,53.679
91.04,96.166,23.243
35.083,79.789,74.648
70.982,133.352,36.33
135.539,117.661,34.146
64.092,88.999,-32.954
81.955,86.867,31.651
-26.576,86.262,31.178
46.94,74.671,69.563
114.323,133.186,-22.235
-11.954,8.031,44.713
-23.313,76.26,40.689
26.016,99.218,23.677
65.9,23.327,-14.566
67.008,98.049,53.859
80.458,98.311,34.686
74.155,160.743,219.571
26.327,82.02,-48.263
76.088,122.251,61.74
84.08,134.111,6.972
72.414,57.502,-75.101
72.748,10.986,106.321
66.668,125.405,21.648
48.289,107.018,61.273
96.959,92.859,56.084
33.418,84.593,-17.946
34.1,101.852,25.825
70.038,31.144,17.943
69.238,86.201,-36.122
69.45,80.885,68.433
232.015,52.354,40.983
80.686,104.998,27.468
82.947,77.397,72.32
59.584,24.752,27.611
108.656,92.781,-25.045
-29.727,91.236,14.968
90.186,129.232,26.881
56.772,75.957,8.813
67.916,82.605,28.023
88.235,80.414,60.22
44.765,63.255,77.927
-199.456,76.753,19.992
65.759,-3.911,8.332
77.296,27.935,2.069
23.933,38.404,69.649
52.543,120.781,16.381
83.483,94.455,6.387
29.481,159.69,27.487
107.244,182.704,50.111
-37.026,141.114,27.746
27.452,130.343,29.222
100.351,88.298,52.18
-16.085,52.619,-6.725
107.705,154.021,28.132
211.12,45.592,21.022
45.098,99.364,102.033
65.745,95.644,97.192
8.136,114.856,9.493
88.74,81.275,30.357
158.324,52.983,32.592
24.866,118.884,10.308
139.913,61.524,154.866
79.378,118.915,29.479
62.608,114.46,-130.081
79.065,64.916,80.345
52.41,80.989,35.996
50.207,-2.385,36.032
61.957,57.067,19.199
70.409,51.274,-29.03
-3.759,100.766,123.687
94.635,80.845,25.096
-50.33,58.551,58.495
97.364,161.312,17.135
66.652,133.557,38.457
46.879,90.171,6.4
1.731,-7.233,-2.919
41.546,17.774,0.326
-24.663,79.561,33.639
49.53,86.53,25.527
67.554,74.251,14.212
48.427,25.149,70.601
6.573,62.333,-55.637
104.782,77.991,174.373
75.482,109.908,-69.054
2.605,103.952,79.878
102.707,61.343,-22.14
-0.286,129.945,9.63
29.694,39.04,19.203
15.703,84.597,67.054
72.843,119.82,-22.074
27.57,56.091,-52.882
63.934,59.935,80.173
112.155,59.936,54.964
37.252,51.579,23.731
81.159,151.714,43.912
86.195,94.984,-73.787
42.259,105.804,92.3
11.85,92.166,47.19
56.395,95.267,64.161
41.204,93.532,49.12
39.744,32.706,-52.001
143.681,109.028,127.887
95.969,113.908,40.638
45.917,199.964,74.283
73.542,65.197,52.313
57.378,131.227,113.289
219.664,156.463,53.156
114.691,-29.809,41.11
87.633,60.528,91.562
64.995,107.303,50.638
47.482,58.921,-83.983
93.524,76.402,110.315
105.043,-66.812,-8.057
34.037,95.534,-33.333
56.712,70.773,34.905
74.811,9.362,64.89
66.083,93.915,14.491
57.129,141.999,-114.125
-7.717,79.549,49.603
42.967,142.013,81.56
71.88,-15.86,45.514
68.968,78.964,-120.693
-25.153,117.974,56.408
77.071,124.513,41.652
47.203,92.781,-28.635
7.989,49.672,-54.65
20.863,55.775,35.132
96.748,59.109,115.239
-4.747,97.919,112.427
-14.728,78.278,33.277
-32.109,97.694,79.973
50.411,73.454,-60.695
35.927,122.731,95.635
53.666,124.025,17.57
47.919,85.129,21.698
63.427,61.064,-8.578
50.113,139.481,-31.728
63.199,168.639,32.109
57.283,91.132,4.219
64.292,133.117,-14.237
-24.138,96.032,44.456
72.148,84.586,32.643
78.0,109.554,125.809
52.393,88.22,31.072
97.127,61.232,6.615
63.017,25.775,4.567
142.72,95.951,32.82
94.744,98.2,-14.212
62.164,66.503,30.632
107.633,-38.461,114.768
-46.33,68.404,8.217
14.991,50.596,54.978
100.078,94.945,67.638
27.365,25.376,28.904
12.816,128.051,-17.64
46.816,99.298,31.91
-29.898,115.621,36.399
64.599,154.316,44.037
117.555,81.498,29.817
158.464,131.222,54.458
14.004,80.579,67.105
111.83,91.281,-15.981
135.645,63.229,62.134
27.537,162.969,90.082
54.626,66.15,45.948
108.69,112.722,25.56
73.385,114.262,17.913
82.077,-6.27,53.404
28.548,144.431,82.703
40.837,19.322,-11.155
12.924,103.721,54.837
49.796,90.734,16.384
112.197,142.067,5.904
60.058,42.794,56.647
149.241,65.1,81.911
21.022,49.446,26.932
16.537,60.865,60.833
-39.355,84.501,15.095
63.327,27.245,96.339
31.248,161.248,49.15
119.595,125.752,15.677
13.551,85.612,24.445
49.902,73.791,57.939
84.917,91.124,46.646
57.852,111.375,-8.599
70.788,26.447,34.857
95.476,97.943,54.149
96.741,64.173,52.611
82.519,21.499,17.968
-73.121,70.552,-41.571
55.413,26.992,-33.53
143.114,71.355,18.26
218.523,75.915,-45.774
-10.334,64.311,39.402
102.308,64.296,58.862
35.516,106.725,44.954
87.637,82.354,43.867
-2.936,49.364,31.876
51.188,72.439,96.865
54.629,100.041,49.013
80.174,193.645,31.798
43.533,45.217,44.975
93.598,84.722,24.673
5.138,62.271,76.847
-21.969,98.337,27.261
-16.31,119.382,22.008
59.879,137.866,181.521
-3.857,73.18,23.823
103.405,-31.718,-18.051
81.964,104.876,25.737
54.993,100.835,64.907
37.568,105.019,57.723
70.403,58.136,52.598
-48.325,86.683,47.37
47.123,66.959,-14.795
35.41,90.804,127.938
-125.921,99.997,-30.16
55.395,102.832,105.03
62.654,-45.604,25.527
70.309,4.788,27.036
57.924,119.923,-1.515
39.902,112.715,-76.703
59.731,86.976,65.942
49.266,120.235,44.347
122.746,-16.59,28.597
165.09,47.533,-5.526
19.287,78.519,19.708
-6.686,3.886,51.283
54.369,26.651,53.834
44.118,44.618,10.829
57.541,85.944,52.132
135.342,130.373,34.032
58.195,59.045,32.225
99.192,175.72,-57.351
43.155,139.976,34.183
75.661,86.407,59.947
42.634,75.268,62.707
78.514,64.729,66.264
87.798,85.001,77.64
73.131,141.094,-63.516
100.21,85.334,59.451
44.241,86.066,55.006
62.581,98.094,10.738
86.66,36.057,30.996
103.264,97.218,8.17
98.64,86.128,7.158
77.665,92.056,34.731
112.004,158.925,46.352
65.975,105.056,9.394
54.933,99.972,-86.025
60.175,111.982,12.032
35.437,81.341,57.025
81.108,92.431,96.695
137.523,78.68,16.693
43.75,62.72,18.921
40.162,164.198,36.332
49.279,105.985,19.911
81.886,83.428,31.988
82.72,103.938,30.483
55.903,96.054,36.031
299.67,51.614,57.026
60.311,60.751,-2.794
71.072,164.773,203.027
54.331,125.512,34.711
64.323,77.485,19.741
60.718,89.533,11.679
63.19,147.481,6.125
84.205,101.156,111.526
48.036,117.504,18.373
-27.336,74.621,-29.789
82.265,125.016,32.585
51.155,83.136,39.128
64.872,131.043,108.836
16.247,91.534,29.613
72.636,93.646,52.203
60.502,114.909,0.372
90.895,124.87,23.147
37.716,75.071,-56.979
93.149,278.663,37.043
-26.513,65.901,48.59
99.927,81.222,36.082
52.549,71.974,26.201
62.445,81.574,36.312
39.1,82.489,145.355
19.207,89.492,2.189
52.176,58.952,1.298
88.263,48.758,21.475
27.734,29.461,1.68
33.269,76.946,-17.885
37.739,70.747,39.296
62.442,70.287,53.983
94.699,71.576,112.409
88.509,55.037,-22.73
82.908,126.831,25.193
122.862,95.797,29.422
104.114,66.855,-10.966
69.135,70.927,78.181
32.545,62.8,-87.991
54.041,90.531,63.756
-23.267,76.945,40.673
129.237,101.877,34.426
144.356,107.421,53.291
106.722,86.774,82.808
-33.456,26.748,74.456
92.259,78.642,-30.617
64.2,84.338,10.338
74.286,147.766,0.387
49.251,77.154,21.699
-11.141,138.835,43.131
62.949,131.003,-50.22
51.953,37.055,4.96
63.303,97.371,9.953
45.796,85.392,37.242
81.594,101.389,41.024
224.331,89.25,33.082
35.997,108.108,38.563
17.658,127.419,25.195
84.807,62.625,57.66
53.722,86.221,36.162
76.182,104.444,70.08
56.952,57.994,8.057
-22.648,48.673,45.004
50.312,74.865,-52.919
73.15,51.861,29.373
191.723,139.931,46.843
59.139,87.356,42.826
74.93,85.788,147.346
54.029,154.646,135.342
9.095,-2.505,99.272
-46.035,78.969,20.293
55.775,121.66,-16.295
62.093,67.89,106.804
54.155,148.415,68.862
66.003,111.125,90.235
37.658,133.586,12.477
57.665,115.765,113.806
86.048,32.095,98.233
135.745,99.996,40.316
102.39,99.845,168.346
6.151,54.584,-9.375
126.9,125.348,28.122
123.324,93.371,98.391
51.393,89.737,32.169
61.73,83.968,21.761
56.967,117.389,9.44
86.552,89.444,68.216
116.992,143.998,40.104
121.624,183.482,35.745
53.14,-19.653,38.562
40.654,134.595,24.341
-18.663,102.47,-46.478
17.543,116.455,54.911
37.913,76.402,-0.35
78.473,136.77,82.348
107.476,71.924,44.425
63.259,46.45,25.366
98.269,105.23,27.462
32.767,43.957,54.389
145.563,111.498,32.09
72.487,107.858,16.168
91.196,38.36,87.268
78.208,58.057,37.644
5.294,89.512,-29.083
37.361,87.395,38.117
16.995,67.856,21.98
64.289,106.005,124.1
85.202,92.82,60.77
26.562,118.488,160.638
26.762,122.59,106.407
15.96,-7.151,31.21
71.152,109.719,5.341
234.105,92.576,55.551
93.601,110.816,-68.1
225.218,90.573,-96.596
59.679,113.008,-12.186
48.388,128.194,123.8
2.826,73.247,66.948
62.966,104.833,62.833
51.857,67.434,17.149
50.484,81.259,27.448
-27.383,106.483,74.033
57.482,97.664,31.92
73.615,146.042,27.361
0.507,26.288,74.641
83.05,70.625,-0.319
83.837,94.208,51.908
40.119,151.085,151.23
-8.185,108.987,61.407
80.312,100.753,32.013
162.79,24.634,-23.989
99.223,13.066,-15.402
-45.025,95.242,-64.621
157.39,65.156,66.474
58.231,126.882,34.728
41.007,111.882,15.833
59.738,6.715,-57.214
29.88,69.232,30.323
50.199,96.637,-0.238
85.336,72.97,-278.944
-3.674,94.499,48.07
-22.814,96.96,-32.162
68.802,100.481,67.108
