Response,Explanatory1,Explanatory2,Explanatory3
54.95547182916631,62.389,55.876,46.551
13.635353398034248,67.123,83.872,54.34
40.73513223997595,47.603,-1.259,42.983
52.962998607806924,74.576,111.864,15.517
72.16670502016133,86.533,133.373,43.315
62.023711420048244,54.59,57.731,46.398
48.068800093471765,85.32,80.202,1.341
62.839106708018576,67.148,137.669,40.549
60.71524336389791,64.774,80.408,60.24
73.8309438199694,43.122,68.218,29.347
33.41454408297386,42.043,48.861,51.344
63.072924607760434,94.392,94.595,38.574
61.56284644904107,87.336,63.887,-4.544
48.81695360498602,83.908,153.641,65.043
58.58989903678429,102.58,69.879,3.827
55.44306090351239,81.494,2.303,40.469
66.29416280912697,56.724,98.733,90.226
87.23970648166564,43.829,52.667,8.366
55.02039623313324,47.298,45.864,65.21
71.9659560495704,64.053,-9.364,33.3
62.851164498930586,74.922,69.843,6.346
87.47570922501657,84.283,73.24,66.521
51.3734810176033,57.806,76.555,78.884
59.6117579057027,102.027,77.63,-19.278
57.43912089635226,91.867,72.202,53.119
59.38654359428587,34.869,117.199,41.808
112.9140832432703,30.838,-26.842,60.971
51.94070258212362,45.462,114.213,67.514
27.79740025337125,48.995,64.801,-25.702
65.90020801848993,61.499,55.644,2.242
59.00646698556994,52.482,32.089,16.481
52.05017545884181,82.416,27.193,25.039
57.174243848102634,68.468,78.275,73.92
23.968881347622847,89.803,54.242,25.572
45.476166180563574,81.428,77.527,69.92
91.97494055310297,73.831,122.993,68.582
43.71683194204827,63.182,130.34,8.433
126.2976576791583,94.147,89.569,85.727
64.78825243184741,60.608,29.391,54.987
52.75430726444317,71.061,156.066,56.365
63.2701148780608,56.165,93.639,38.227
39.24331888292919,70.736,80.532,61.618
76.4390887578034,82.316,132.25,8.125
61.60897072997485,82.327,78.855,53.405
81.34753450374473,94.551,101.975,20.144
40.76019815647743,47.311,62.328,61.099
53.90439831681053,64.229,95.866,73.135
31.820652623609107,84.486,96.048,99.207
31.88969411827197,76.037,90.482,49.125
56.88231772495996,77.186,41.324,42.195
71.98275678876074,67.488,94.535,62.482
62.276627220204965,83.249,6.952,-0.531
94.68855135056754,58.231,77.876,20.519
65.1840507544359,50.961,16.07,45.894
74.30306806543132,67.241,23.609,-28.316
33.71091144499582,95.765,13.166,40.643
56.1739311132702,35.134,98.719,47.254
69.73523092043023,52.327,-4.768,87.256
68.59060995918378,64.573,83.04,88.203
90.15531480404633,49.342,34.853,-16.804
65.20188324088795,51.411,69.023,72.349
72.2201451666854,76.312,117.356,-12.61
105.22807189876656,75.252,84.92,58.204
28.624114433253382,80.061,107.896,66.206
54.44938757606401,66.638,103.828,-0.091
104.33431285006458,49.502,66.613,49.727
59.644472782790075,71.545,-13.067,-2.282
62.09592351377769,50.185,60.315,1.421
40.08141045241142,83.304,36.014,7.77
60.271576689608935,96.486,72.24,71.013
48.88816368733149,63.919,96.105,67.998
73.15456548631555,66.499,98.491,19.281
60.89466485369268,55.176,63.023,38.824
65.73499918382001,80.098,147.434,-5.569
59.779624700872645,36.143,129.2,96.864
58.52722128871283,58.46,52.579,9.372
48.8130609076041,82.262,132.154,77.527
60.148293069849444,94.661,74.942,42.259
39.2784815869435,58.856,81.291,-15.953
49.76223462532227,72.678,138.174,67.793
43.69468736731106,33.478,-17.964,67.56
63.02059272562978,59.168,111.462,27.791
60.7424315048369,86.111,117.745,-22.881
96.9197612728496,63.326,70.262,55.689
45.098496727763084,47.596,126.807,39.774
64.42916882068333,75.514,59.812,49.232
1.8033553127413313,44.054,46.997,71.411
60.47501111544447,55.669,100.099,0.613
